sim_n	seed	popsize_2N	iniCN	selCoeff	time_g	exchg_r	mean	median	mode	sd	alpha	beta	p_val	class
1	37666421	5000	500	0.000000	1000	0.800370	482.7682 	 420 	 368 	 307.5645 	 2.353065 	 0.004874141 	 0.02221796 	 1 
2	38254666	5000	500	0.000000	1000	0.337696	387.4274 	 335 	 306 	 242.96 	 2.546307 	 0.00657191 	 0.006177431 	 0 
3	38742069	5000	500	0.000000	1000	0.893974	880.7276 	 771 	 349 	 562.2054 	 2.493514 	 0.002831232 	 0.001977241 	 0 
4	39834524	5000	500	0.000000	1000	0.309343	311.26 	 270 	 200 	 198.2396 	 2.666896 	 0.008567383 	 0.0001489868 	 0 
5	40288313	5000	500	0.000000	1000	0.160782	604.9204 	 544 	 578 	 352.4637 	 2.75661 	 0.004556521 	 8.013059e-05 	 0 
6	40742102	5000	500	0.000000	1000	0.993277	532.2718 	 475 	 229 	 329.0487 	 2.385945 	 0.004482646 	 0.02091991 	 1 
7	41616066	5000	500	0.000000	1000	0.397703	676.9338 	 602 	 292 	 412.987 	 2.602157 	 0.003844645 	 0.007071711 	 0 
8	42187504	5000	500	0.000000	1000	0.138366	410.4342 	 369 	 614 	 250.0776 	 2.540751 	 0.006190468 	 0.003539914 	 0 
9	42540451	5000	500	0.000000	1000	0.962002	462.078 	 400 	 271 	 294.4635 	 2.422522 	 0.005241753 	 0.01357327 	 1 
10	43179117	5000	500	0.000000	1000	0.732337	455.919 	 405 	 351 	 277.1351 	 2.618823 	 0.005744247 	 0.007071711 	 0 
11	43750555	5000	500	0.000000	1000	0.352350	334.2582 	 293 	 217 	 210.0012 	 2.386178 	 0.007138043 	 0.005028403 	 0 
12	44254765	5000	500	0.000000	1000	0.842823	531.9774 	 470 	 484 	 341.1545 	 2.376741 	 0.004467793 	 0.01538975 	 1 
13	44977466	5000	500	0.000000	1000	0.556751	706.164 	 608 	 546 	 452.9563 	 2.389468 	 0.003384995 	 0.05224189 	 1 
14	45801009	5000	500	0.000000	1000	0.936651	884.6804 	 781 	 464 	 564.3014 	 2.487876 	 0.00281213 	 0.001578859 	 0 
15	46759008	5000	500	0.000000	1000	0.620977	356.039 	 314 	 437 	 224.6829 	 2.422738 	 0.006805072 	 0.02221796 	 1 
16	47313639	5000	500	0.000000	1000	0.970954	559.6768 	 500 	 509 	 353.4579 	 2.469632 	 0.004413813 	 0.007561748 	 0 
17	48053147	5000	500	0.000000	1000	0.762896	175.1006 	 151 	 119 	 113.0231 	 2.397247 	 0.0136915 	 0.0007867085 	 0 
18	48506936	5000	500	0.000000	1000	0.796478	704.1074 	 620 	 441 	 450.5331 	 2.411385 	 0.003424638 	 0.01273943 	 1 
19	49330479	5000	500	0.000000	1000	0.565282	793.8948 	 694 	 816 	 487.3678 	 2.59526 	 0.003268884 	 0.0007266593 	 0 
20	50069987	5000	500	0.000000	1000	0.687549	433.126 	 382 	 133 	 273.7155 	 2.447089 	 0.005649563 	 0.1018978 	 1 
21	50742267	5000	500	0.000000	1000	0.337762	706.3714 	 619.5 	 569 	 447.1595 	 2.419659 	 0.003424507 	 0.004691266 	 0 
22	51380933	5000	500	0.000000	1000	0.897577	498.442 	 432 	 253 	 320.6082 	 2.39595 	 0.004806477 	 0.007071711 	 0 
23	52271704	5000	500	0.000000	1000	0.929541	349.5704 	 308 	 189 	 221.1186 	 2.401574 	 0.006870442 	 0.003295976 	 0 
24	53112054	5000	500	0.000000	1000	0.852715	753.2606 	 660 	 284 	 475.3345 	 2.463632 	 0.003272214 	 0.003067621 	 0 
25	54036439	5000	500	0.000000	1000	0.929234	492.4282 	 423 	 297 	 319.4035 	 2.381592 	 0.004836732 	 0.02358712 	 1 
26	54910403	5000	500	0.000000	1000	0.713072	496.2056 	 436.5 	 253 	 312.9593 	 2.448269 	 0.004934265 	 0.03968188 	 1 
27	55683525	5000	500	0.000000	1000	0.598809	286.5448 	 255 	 190 	 179.883 	 2.478775 	 0.008650623 	 0.001463605 	 0 
28	56187735	5000	500	0.000000	1000	0.269201	479.7526 	 410.5 	 337 	 314.8338 	 2.325893 	 0.004847919 	 0.001463605 	 0 
29	56775980	5000	500	0.000000	1000	0.292256	475.0002 	 438 	 490 	 277.1046 	 2.642086 	 0.005562679 	 2.906276e-05 	 0 
30	57397839	5000	500	0.000000	1000	0.681274	793.9406 	 695 	 963 	 493.3464 	 2.403406 	 0.003026847 	 0.08356539 	 1 
31	58187768	5000	500	0.000000	1000	0.715678	772.553 	 666 	 684 	 500.7072 	 2.334291 	 0.00302124 	 0.01357327 	 1 
32	59128960	5000	500	0.000000	1000	0.850851	300.4418 	 264 	 174 	 189.377 	 2.432107 	 0.008096954 	 0.008082509 	 0 
33	59683591	5000	500	0.000000	1000	0.741499	263.8904 	 231 	 211 	 169.7283 	 2.383568 	 0.009032112 	 0.01968982 	 1 
34	60154187	5000	500	0.000000	1000	0.040507	308.0486 	 284 	 545 	 175.4552 	 2.534179 	 0.008226741 	 3.433664e-08 	 0 
35	60389485	5000	500	0.000000	1000	0.304574	362.5402 	 310 	 179 	 243.5616 	 2.24393 	 0.006188817 	 0.003067621 	 0 
36	60910502	5000	500	0.000000	1000	0.980046	589.7554 	 528 	 458 	 355.6589 	 2.671298 	 0.004528801 	 0.02655187 	 1 
37	61717238	5000	500	0.000000	1000	0.151098	460.408 	 402 	 424 	 301.2421 	 2.198829 	 0.004774899 	 0.001256214 	 0 
38	62171027	5000	500	0.000000	1000	0.693351	241.2456 	 209 	 150 	 157.5875 	 2.330674 	 0.009661015 	 0.007071711 	 0 
39	62742465	5000	500	0.000000	1000	0.695129	920.97 	 800 	 506 	 597.2495 	 2.413796 	 0.00262102 	 0.005028403 	 0 
40	63683657	5000	500	0.000000	1000	0.072070	828.0998 	 711 	 888 	 524.068 	 2.463964 	 0.002975993 	 1.004282e-05 	 0 
41	63986183	5000	500	0.000000	1000	0.899734	803.5154 	 718 	 612 	 499.7502 	 2.49377 	 0.003104006 	 0.003539914 	 0 
42	64708884	5000	500	0.000000	1000	0.424947	491.8292 	 436 	 273 	 313.2077 	 2.456615 	 0.004994902 	 0.0006709253 	 0 
43	65246708	5000	500	0.000000	1000	0.542971	768.6576 	 666.5 	 291 	 494.0933 	 2.390509 	 0.00310954 	 0.01050764 	 1 
44	65952602	5000	500	0.000000	1000	0.581505	416.8768 	 365 	 267 	 262.4111 	 2.339976 	 0.005616406 	 0.1122497 	 1 
45	66440005	5000	500	0.000000	1000	0.554118	813.9148 	 715 	 548 	 515.3651 	 2.408945 	 0.002959435 	 0.001578859 	 0 
46	67095478	5000	500	0.000000	1000	0.947047	207.7886 	 183 	 236 	 135.1157 	 2.348669 	 0.01130129 	 0.001977241 	 0 
47	67582881	5000	500	0.000000	1000	0.569484	898.3652 	 790 	 262 	 579.5272 	 2.397088 	 0.002668412 	 0.004691266 	 0 
48	68322389	5000	500	0.000000	1000	0.853629	474.4126 	 421.5 	 539 	 290.6523 	 2.601196 	 0.005482629 	 0.004691266 	 0 
49	69011476	5000	500	0.000000	1000	0.644034	770.382 	 669 	 637 	 499.2255 	 2.321702 	 0.003013637 	 0.01637739 	 1 
50	69818212	5000	500	0.000000	1000	0.659918	566.3964 	 507 	 693 	 345.2795 	 2.593274 	 0.004579175 	 0.005770175 	 0 
51	70524106	5000	500	0.000000	1000	0.950878	321.5776 	 278 	 144 	 201.4999 	 2.55996 	 0.007961419 	 0.06131801 	 1 
52	71028316	5000	500	0.000000	1000	0.049380	669.3202 	 568 	 886 	 412.9253 	 2.47152 	 0.003692053 	 4.906829e-08 	 0 
53	71314035	5000	500	0.000000	1000	0.590777	410.8984 	 358 	 274 	 266.4116 	 2.284308 	 0.005559076 	 0.008635679 	 0 
54	71885473	5000	500	0.000000	1000	0.069860	770.9974 	 651 	 355 	 476.8681 	 2.621947 	 0.003400738 	 0.005028403 	 0 
55	72171192	5000	500	0.000000	1000	0.600372	569.9204 	 499 	 472 	 361.1929 	 2.369651 	 0.004157803 	 0.008635679 	 0 
56	72860279	5000	500	0.000000	1000	0.983769	380.8114 	 329 	 280 	 241.4479 	 2.432587 	 0.006387146 	 0.07549366 	 1 
57	73566173	5000	500	0.000000	1000	0.705561	501.6608 	 425 	 356 	 336.4366 	 2.321453 	 0.004628275 	 0.0007867085 	 0 
58	74053576	5000	500	0.000000	1000	0.493646	330.2582 	 284 	 226 	 211.773 	 2.402409 	 0.007274519 	 0.03161711 	 1 
59	74540979	5000	500	0.000000	1000	0.519598	404.1222 	 353 	 255 	 260.9621 	 2.393079 	 0.005921654 	 0.001977241 	 0 
60	75078803	5000	500	0.000000	1000	0.504530	574.247 	 513.5 	 288 	 357.4665 	 2.506542 	 0.004364365 	 0.004078391 	 0 
61	75767890	5000	500	0.000000	1000	0.586733	383.3554 	 335 	 176 	 241.7389 	 2.392169 	 0.006238633 	 0.004691266 	 0 
62	76288907	5000	500	0.000000	1000	0.435946	576.2754 	 506 	 386 	 357.5312 	 2.427004 	 0.004210722 	 0.005387613 	 0 
63	76893959	5000	500	0.000000	1000	0.537791	388.4756 	 337 	 167 	 247.5252 	 2.410566 	 0.006205708 	 0.06809222 	 1 
64	77381362	5000	500	0.000000	1000	0.988092	636.0868 	 549 	 474 	 413.7485 	 2.386471 	 0.00375222 	 0.005387613 	 0 
65	78120870	5000	500	0.000000	1000	0.300233	356.3972 	 308 	 204 	 236.514 	 2.217687 	 0.00622235 	 0.001702508 	 0 
66	78473817	5000	500	0.000000	1000	0.418161	730.8156 	 634 	 357 	 469.0345 	 2.39371 	 0.003275371 	 8.76593e-05 	 0 
67	79045255	5000	500	0.000000	1000	0.998298	595.2834 	 526 	 230 	 372.7688 	 2.403184 	 0.004036659 	 0.004374982 	 0 
68	79717535	5000	500	0.000000	1000	0.998406	1143.514 	 1009 	 917 	 710.0756 	 2.441026 	 0.002135352 	 0.03751331 	 1 
69	80894025	5000	500	0.000000	1000	0.541921	592.8752 	 516 	 419 	 367.343 	 2.559122 	 0.004316877 	 0.009846365 	 0 
70	81499077	5000	500	0.000000	1000	0.375657	505.208 	 456 	 494 	 310.9673 	 2.540072 	 0.005028787 	 0.002129532 	 0 
71	82036901	5000	500	0.000000	1000	0.748688	278.3414 	 240 	 173 	 176.3202 	 2.46913 	 0.008866721 	 0.03544907 	 1 
72	82557918	5000	500	0.000000	1000	0.767269	700.6144 	 605 	 476 	 458.1247 	 2.353837 	 0.003359875 	 0.004078391 	 0 
73	83314233	5000	500	0.000000	1000	0.187277	280.4028 	 245 	 165 	 169.2779 	 2.621873 	 0.009348965 	 4.226071e-05 	 0 
74	83650373	5000	500	0.000000	1000	0.914397	744.3226 	 654.5 	 400 	 465.6084 	 2.479064 	 0.00333101 	 0.03161711 	 1 
75	84406688	5000	500	0.000000	1000	0.465578	772.2116 	 696 	 459 	 478.4511 	 2.44412 	 0.003165205 	 0.008082509 	 0 
76	84994933	5000	500	0.000000	1000	0.517419	785.2252 	 673 	 393 	 488.2444 	 2.511175 	 0.003197159 	 0.1234538 	 1 
77	85650406	5000	500	0.000000	1000	0.945344	654.7078 	 579 	 258 	 417.0858 	 2.374493 	 0.003626411 	 0.003295976 	 0 
78	86373107	5000	500	0.000000	1000	0.556987	529.4834 	 460 	 380 	 323.5797 	 2.60128 	 0.004913066 	 0.01968982 	 1 
79	86927738	5000	500	0.000000	1000	0.968749	702.4836 	 605.5 	 461 	 455.1171 	 2.418946 	 0.003443159 	 0.002853946 	 0 
80	87667246	5000	500	0.000000	1000	0.466931	459.9218 	 401 	 228 	 289.9629 	 2.406922 	 0.005234143 	 0.001463605 	 0 
81	88121035	5000	500	0.000000	1000	0.774433	392.9444 	 351 	 379 	 243.5959 	 2.547048 	 0.00648247 	 0.001163116 	 0 
82	88608438	5000	500	0.000000	1000	0.262606	294.3422 	 264 	 313 	 174.18 	 2.684189 	 0.009116881 	 0.009223018 	 0 
83	88961385	5000	500	0.000000	1000	0.424788	330.7334 	 295 	 117 	 207.6715 	 2.396746 	 0.007246201 	 0.01273943 	 1 
84	89431981	5000	500	0.000000	1000	0.383115	536.5642 	 476.5 	 219 	 322.1234 	 2.630532 	 0.00490246 	 0.03348501 	 1 
85	89902577	5000	500	0.000000	1000	0.503488	514.8898 	 456 	 526 	 323.4021 	 2.456377 	 0.004768883 	 0.008082509 	 0 
86	90507629	5000	500	0.000000	1000	0.790259	489.365 	 435 	 412 	 302.7359 	 2.566599 	 0.00524349 	 0.001163116 	 0 
87	91112681	5000	500	0.000000	1000	0.995554	454.1876 	 398 	 373 	 281.0695 	 2.499068 	 0.005501588 	 0.01445589 	 1 
88	91751347	5000	500	0.000000	1000	0.926604	329.7162 	 289.5 	 262 	 206.1745 	 2.529925 	 0.007671624 	 0.01742144 	 1 
89	92440434	5000	500	0.000000	1000	0.165287	223.213 	 202 	 199 	 135.2168 	 2.574946 	 0.01153587 	 0.0002716346 	 0 
90	92709346	5000	500	0.000000	1000	0.533154	637.08 	 558.5 	 397 	 403.1226 	 2.383705 	 0.003741455 	 0.004078391 	 0 
91	93398433	5000	500	0.000000	1000	0.685548	401.502 	 351 	 226 	 255.5219 	 2.393733 	 0.005960256 	 0.01050764 	 1 
92	94188362	5000	500	0.000000	1000	0.904896	427.945 	 369 	 310 	 274.751 	 2.360727 	 0.00551789 	 0.01273943 	 1 
93	94742993	5000	500	0.000000	1000	0.343059	296.5242 	 260.5 	 79 	 186.5961 	 2.383723 	 0.008040052 	 0.005028403 	 0 
94	95146361	5000	500	0.000000	1000	0.512249	633.5578 	 541.5 	 331 	 420.9822 	 2.268156 	 0.003580972 	 0.008082509 	 0 
95	95751413	5000	500	0.000000	1000	0.901983	418.388 	 367 	 236 	 264.4705 	 2.399124 	 0.005732453 	 0.03348501 	 1 
96	96373272	5000	500	0.000000	1000	0.696799	500.1412 	 441 	 403 	 305.5971 	 2.649888 	 0.005298761 	 0.009846365 	 0 
97	96927903	5000	500	0.000000	1000	0.419353	368.6814 	 313 	 218 	 240.7458 	 2.31925 	 0.006290244 	 0.03968188 	 1 
98	97448920	5000	500	0.000000	1000	0.640219	495.644 	 432 	 219 	 321.0578 	 2.386037 	 0.004814376 	 0.002853946 	 0 
99	97969937	5000	500	0.000000	1000	0.936197	288.3542 	 254 	 134 	 179.8642 	 2.48535 	 0.008618633 	 0.03348501 	 1 
100	98541375	5000	500	0.000000	1000	0.515533	524.5736 	 468 	 830 	 319.5634 	 2.475053 	 0.004717975 	 0.003800385 	 0 
101	99079199	5000	500	0.000000	1000	0.977920	720.152 	 657 	 515 	 430.388 	 2.64227 	 0.003669689 	 0.001578859 	 0 
102	99852321	5000	500	0.000000	1000	0.304771	781.0224 	 665 	 494 	 529.3335 	 2.157199 	 0.002761599 	 0.001463605 	 0 
103	100675864	5000	500	0.000000	1000	0.360352	480.3458 	 427 	 395 	 281.9192 	 2.815144 	 0.005860007 	 0.01357327 	 1 
104	101751512	5000	500	0.000000	1000	0.672368	825.6514 	 704 	 509 	 545.3263 	 2.236263 	 0.002708235 	 0.008082509 	 0 
105	102625476	5000	500	0.000000	1000	0.386771	422.4518 	 371 	 244 	 260.3707 	 2.551005 	 0.006039114 	 0.005387613 	 0 
106	103230528	5000	500	0.000000	1000	0.641011	523.383 	 452.5 	 96 	 331.284 	 2.376918 	 0.004540898 	 0.008082509 	 0 
107	103785159	5000	500	0.000000	1000	0.860283	526.3042 	 461 	 270 	 335.2826 	 2.39143 	 0.004543914 	 0.04434906 	 1 
108	104423825	5000	500	0.000000	1000	0.929756	243.5924 	 208 	 104 	 157.5449 	 2.41971 	 0.009932569 	 0.01273943 	 1 
109	105012070	5000	500	0.000000	1000	0.823171	472.7898 	 411 	 376 	 297.1242 	 2.487657 	 0.00526194 	 0.005387613 	 0 
110	105633929	5000	500	0.000000	1000	0.512328	741.2064 	 658 	 587 	 439.6642 	 2.54774 	 0.003438302 	 0.02358712 	 1 
111	106205367	5000	500	0.000000	1000	0.822804	428.0668 	 372 	 176 	 268.6991 	 2.451964 	 0.005727639 	 0.0009209979 	 0 
112	106776805	5000	500	0.000000	1000	0.674463	382.171 	 342 	 346 	 232.5429 	 2.598325 	 0.006800114 	 0.01120883 	 1 
