	sim_n	seed	popsize_2N	iniCN	selCoeff	time_g	exchg_r	mean	median	mode	sd	alpha	beta
0	1	8259216	5000	1109	0.0000001	1000	0.358648	1195.437 	 1038 	 746 	 790.6916 	 2.302532 	 0.001925953 
1	1	9217215	5000	1109	0.0000001	1000	0.358648	753.2614 	 659 	 1024 	 471.8425 	 2.488464 	 0.003303054 
2	1	10007144	5000	1109	0.0000001	1000	0.358648	675.4336 	 567 	 314 	 467.8147 	 2.27594 	 0.003369872 
3	1	10763459	5000	1109	0.0000001	1000	0.358648	664.055 	 579 	 432 	 420.6413 	 2.523752 	 0.003800558 
4	1	11418932	5000	1109	0.0000001	1000	0.358648	1414.62 	 1238.5 	 1199 	 880.4935 	 2.564379 	 0.001812521 
5	1	12410545	5000	1109	0.0000001	1000	0.358648	1134.352 	 1021 	 341 	 685.7397 	 2.486825 	 0.002192259 
6	1	13267702	5000	1109	0.0000001	1000	0.358648	949.3954 	 841 	 722 	 593.2397 	 2.552246 	 0.002688662 
7	1	14074438	5000	1109	0.0000001	1000	0.358648	904.3746 	 804 	 888 	 559.9207 	 2.615841 	 0.002892692 
8	1	14830753	5000	1109	0.0000001	1000	0.358648	1026.672 	 871 	 651 	 675.3601 	 2.423983 	 0.00236121 
9	1	15721524	5000	1109	0.0000001	1000	0.358648	1717.811 	 1524 	 1029 	 1075.005 	 2.413878 	 0.001404749 
10	1	16696330	5000	1109	0.0000001	1000	0.358648	1084.891 	 965 	 1519 	 659.1062 	 2.562173 	 0.002361467 
11	1	17637522	5000	1109	0.0000001	1000	0.358648	687.1524 	 593.5 	 533 	 442.391 	 2.449939 	 0.003565096 
12	1	18494679	5000	1109	0.0000001	1000	0.358648	1119.587 	 974.5 	 1246 	 689.929 	 2.557602 	 0.002284759 
13	1	19435871	5000	1109	0.0000001	1000	0.358648	1127.804 	 947 	 1103 	 733.9607 	 2.434145 	 0.002157895 
14	1	20343449	5000	1109	0.0000001	1000	0.358648	703.615 	 621 	 636 	 430.832 	 2.506862 	 0.003563351 
15	1	21200606	5000	1109	0.0000001	1000	0.358648	653.127 	 568 	 370 	 424.7802 	 2.312721 	 0.003540116 
16	1	21923307	5000	1109	0.0000001	1000	0.358648	408.4978 	 358.5 	 291 	 247.3718 	 2.632694 	 0.006445229 
17	1	22461131	5000	1109	0.0000001	1000	0.358648	833.1004 	 731 	 566 	 526.5208 	 2.536921 	 0.003045429 
18	1	23183832	5000	1109	0.0000001	1000	0.358648	1446.152 	 1262.5 	 614 	 940.619 	 2.411234 	 0.00166729 
19	1	24091410	5000	1109	0.0000001	1000	0.358648	1343.192 	 1143 	 1378 	 839.2407 	 2.461702 	 0.00183221 
20	1	24847725	5000	1109	0.0000001	1000	0.358648	1025.247 	 892 	 641 	 672.6055 	 2.44657 	 0.002385945 
21	1	25654461	5000	1109	0.0000001	1000	0.358648	1520.45 	 1350 	 2254 	 936.4178 	 2.460073 	 0.001618119 
22	1	26528425	5000	1109	0.0000001	1000	0.358648	504.6216 	 439 	 262 	 324.9511 	 2.435401 	 0.00482511 
23	1	27167091	5000	1109	0.0000001	1000	0.358648	1180.467 	 1029 	 1174 	 751.5877 	 2.422644 	 0.002052672 
24	1	28057862	5000	1109	0.0000001	1000	0.358648	432.108 	 394 	 425 	 256.6222 	 2.758625 	 0.006383629 
25	1	28696528	5000	1109	0.0000001	1000	0.358648	1341.968 	 1155 	 660 	 833.9024 	 2.517518 	 0.001876025 
26	1	29587299	5000	1109	0.0000001	1000	0.358648	1594.092 	 1447 	 336 	 968.9013 	 2.458218 	 0.001542324 
27	1	30730175	5000	1109	0.0000001	1000	0.358648	476.5952 	 419 	 398 	 300.8574 	 2.291625 	 0.00480872 
28	1	31620946	5000	1109	0.0000001	1000	0.358648	849.3752 	 758 	 1363 	 530.1716 	 2.44711 	 0.002881507 
29	1	32763822	5000	1109	0.0000001	1000	0.358648	669.0406 	 599 	 177 	 403.7829 	 2.504699 	 0.003744172 
30	1	33705014	5000	1109	0.0000001	1000	0.358648	695.6668 	 604.5 	 433 	 438.9047 	 2.551878 	 0.00366818 
31	1	34898311	5000	1109	0.0000001	1000	0.358648	1534.702 	 1306 	 1335 	 981.3317 	 2.498013 	 0.001627967 
32	1	36057994	5000	1109	0.0000001	1000	0.358648	570.5894 	 505 	 377 	 351.618 	 2.538585 	 0.004448763 
33	1	36831116	5000	1109	0.0000001	1000	0.358648	2080.817 	 1777 	 648 	 1407.343 	 2.247654 	 0.001079985 
34	1	37957185	5000	1109	0.0000001	1000	0.358648	355.5192 	 312 	 182 	 216.7264 	 2.571148 	 0.00723273 
35	1	38763921	5000	1109	0.0000001	1000	0.358648	1057.93 	 925 	 987 	 654.4806 	 2.460427 	 0.002325634 
36	1	39688306	5000	1109	0.0000001	1000	0.358648	1342.693 	 1161 	 1517 	 814.9756 	 2.668493 	 0.001987464 
37	1	40730340	5000	1109	0.0000001	1000	0.358648	1541.939 	 1387 	 1946 	 943.166 	 2.461022 	 0.001595944 
38	1	41822795	5000	1109	0.0000001	1000	0.358648	873.4366 	 763 	 352 	 544.4948 	 2.490021 	 0.002851013 
39	1	42797601	5000	1109	0.0000001	1000	0.358648	601.2024 	 526 	 592 	 377.8088 	 2.351239 	 0.003911294 
40	1	43469881	5000	1109	0.0000001	1000	0.358648	1826.186 	 1622 	 955 	 1120.013 	 2.523284 	 0.001381695 
41	1	44478301	5000	1109	0.0000001	1000	0.358648	1117.755 	 1004.5 	 1068 	 654.6764 	 2.853036 	 0.002551928 
42	1	45890089	5000	1109	0.0000001	1000	0.358648	1046.248 	 908 	 902 	 634.1634 	 2.704213 	 0.002584716 
43	1	47150614	5000	1109	0.0000001	1000	0.358648	918.6724 	 781 	 647 	 630.0562 	 2.198504 	 0.002392801 
44	1	47974157	5000	1109	0.0000001	1000	0.358648	567.553 	 489 	 360 	 355.9033 	 2.568303 	 0.004525123 
45	1	48713665	5000	1109	0.0000001	1000	0.358648	659.4218 	 581.5 	 667 	 414.3543 	 2.499313 	 0.00378968 
46	1	49638050	5000	1109	0.0000001	1000	0.358648	1182.132 	 1021 	 1047 	 765.1722 	 2.400058 	 0.002030315 
47	1	50495207	5000	1109	0.0000001	1000	0.358648	1369.267 	 1201 	 1295 	 840.9503 	 2.686685 	 0.001962359 
48	1	51301943	5000	1109	0.0000001	1000	0.358648	729.858 	 634 	 702 	 472.8282 	 2.206526 	 0.003023556 
49	1	51974223	5000	1109	0.0000001	1000	0.358648	871.399 	 752 	 756 	 560.5255 	 2.416295 	 0.002772628 
50	1	52680117	5000	1109	0.0000001	1000	0.358648	825.9328 	 712 	 144 	 546.9062 	 2.34165 	 0.002835341 
51	1	53352397	5000	1109	0.0000001	1000	0.358648	1126.665 	 952.5 	 1295 	 737.0036 	 2.406572 	 0.002136341 
52	1	54259975	5000	1109	0.0000001	1000	0.358648	2266.791 	 2015 	 6234 	 1375.356 	 2.607885 	 0.001150326 
53	1	55184360	5000	1109	0.0000001	1000	0.358648	775.6612 	 685.5 	 475 	 492.3717 	 2.446265 	 0.003153458 
54	1	55957482	5000	1109	0.0000001	1000	0.358648	789.81 	 704 	 915 	 481.4644 	 2.610734 	 0.00330489 
55	1	56663376	5000	1109	0.0000001	1000	0.358648	1196.67 	 1029 	 1294 	 747.1327 	 2.460702 	 0.002056456 
56	1	57537340	5000	1109	0.0000001	1000	0.358648	1025.764 	 912.5 	 705 	 637.6538 	 2.432457 	 0.002371528 
57	1	58176006	5000	1109	0.0000001	1000	0.358648	693.3214 	 597 	 252 	 437.9505 	 2.424848 	 0.003497641 
58	1	58814672	5000	1109	0.0000001	1000	0.358648	375.9548 	 326 	 191 	 243.5179 	 2.339628 	 0.006222529 
59	1	59419724	5000	1109	0.0000001	1000	0.358648	1347.46 	 1189 	 656 	 850.0436 	 2.561824 	 0.001901128 
60	1	60209653	5000	1109	0.0000001	1000	0.358648	2667.353 	 2293 	 2962 	 1717.867 	 2.548555 	 0.0009554374 
61	1	61285301	5000	1109	0.0000001	1000	0.358648	1702.611 	 1518.5 	 556 	 1046.14 	 2.524974 	 0.001482903 
62	1	62226493	5000	1109	0.0000001	1000	0.358648	3926.27 	 3473 	 2779 	 2421.853 	 2.635616 	 0.0006713179 
63	1	63537439	5000	1109	0.0000001	1000	0.358648	1295.505 	 1144 	 747 	 829.5737 	 2.321988 	 0.001792482 
64	1	64629894	5000	1109	0.0000001	1000	0.358648	568.4962 	 518 	 389 	 352.8071 	 2.468787 	 0.004342883 
65	1	65503858	5000	1109	0.0000001	1000	0.358648	1666.918 	 1426 	 1630 	 1100.637 	 2.30412 	 0.001382495 
66	1	66579506	5000	1109	0.0000001	1000	0.358648	635.3618 	 551.5 	 414 	 392.0679 	 2.498132 	 0.003931462 
67	1	67369435	5000	1109	0.0000001	1000	0.358648	1047.429 	 930.5 	 1029 	 679.4689 	 2.312029 	 0.002207808 
68	1	68361048	5000	1109	0.0000001	1000	0.358648	1239.466 	 1070 	 834 	 772.4704 	 2.54916 	 0.002056078 
69	1	69419889	5000	1109	0.0000001	1000	0.358648	972.4336 	 868 	 808 	 609.448 	 2.423519 	 0.002491933 
70	1	70293853	5000	1109	0.0000001	1000	0.358648	1300.941 	 1160 	 1284 	 816.0693 	 2.373979 	 0.001824753 
71	1	71403115	5000	1109	0.0000001	1000	0.358648	959.009 	 835 	 742 	 601.8213 	 2.486774 	 0.002592943 
72	1	72344307	5000	1109	0.0000001	1000	0.358648	1173.164 	 1064 	 2106 	 713.6559 	 2.6529 	 0.002261708 
73	1	73403148	5000	1109	0.0000001	1000	0.358648	1335.888 	 1137 	 287 	 838.255 	 2.378735 	 0.001780456 
74	1	74327533	5000	1109	0.0000001	1000	0.358648	496.9554 	 442.5 	 484 	 313.3945 	 2.422665 	 0.00487489 
75	1	75067041	5000	1109	0.0000001	1000	0.358648	927.929 	 801 	 549 	 597.7899 	 2.353206 	 0.00253615 
76	1	75873777	5000	1109	0.0000001	1000	0.358648	856.941 	 754 	 592 	 517.1296 	 2.623679 	 0.003061418 
77	1	76747741	5000	1109	0.0000001	1000	0.358648	1159.902 	 1014 	 1200 	 718.1519 	 2.519069 	 0.002171966 
78	1	77941038	5000	1109	0.0000001	1000	0.358648	615.7078 	 529 	 415 	 397.4635 	 2.370782 	 0.003850356 
79	1	78663739	5000	1109	0.0000001	1000	0.358648	934.0284 	 813.5 	 667 	 588.0677 	 2.431393 	 0.002602814 
80	1	79705773	5000	1109	0.0000001	1000	0.358648	2747.045 	 2447 	 2443 	 1640.853 	 2.641038 	 0.000961252 
81	1	80865456	5000	1109	0.0000001	1000	0.358648	932.5184 	 809 	 1203 	 570.1489 	 2.689506 	 0.002884076 
82	1	81722613	5000	1109	0.0000001	1000	0.358648	1604.294 	 1382 	 1541 	 1029.143 	 2.411466 	 0.001503072 
83	1	82663805	5000	1109	0.0000001	1000	0.358648	1386.113 	 1215 	 813 	 844.5218 	 2.627692 	 0.001895509 
84	1	83571383	5000	1109	0.0000001	1000	0.358648	480.7986 	 413 	 343 	 302.7847 	 2.424192 	 0.005041631 
85	1	84310891	5000	1109	0.0000001	1000	0.358648	537.104 	 461.5 	 280 	 361.977 	 2.264715 	 0.004217035 
86	1	85151241	5000	1109	0.0000001	1000	0.358648	746.5448 	 655 	 522 	 485.7082 	 2.330398 	 0.00312164 
87	1	85924363	5000	1109	0.0000001	1000	0.358648	500.2976 	 432 	 342 	 321.204 	 2.445854 	 0.004888802 
88	1	86546222	5000	1109	0.0000001	1000	0.358648	1516.682 	 1274 	 692 	 1006.858 	 2.401407 	 0.001583506 
89	1	87487414	5000	1109	0.0000001	1000	0.358648	928.6844 	 824.5 	 400 	 586.5246 	 2.595827 	 0.002795431 
90	1	88378185	5000	1109	0.0000001	1000	0.358648	930.3906 	 820 	 840 	 600.2848 	 2.392475 	 0.002571412 
91	1	89252149	5000	1109	0.0000001	1000	0.358648	903.7722 	 793 	 399 	 568.1539 	 2.407872 	 0.002664213 
92	1	90092499	5000	1109	0.0000001	1000	0.358648	838.2958 	 746 	 810 	 526.7692 	 2.37616 	 0.002834456 
93	1	90932849	5000	1109	0.0000001	1000	0.358648	1915.149 	 1657 	 964 	 1226.512 	 2.373557 	 0.001239477 
94	1	91991690	5000	1109	0.0000001	1000	0.358648	521.4066 	 453 	 276 	 341.807 	 2.450902 	 0.004700044 
95	1	92764812	5000	1109	0.0000001	1000	0.358648	677.7224 	 593 	 187 	 428.1484 	 2.404825 	 0.00354807 
96	1	93487513	5000	1109	0.0000001	1000	0.358648	932.8648 	 840.5 	 530 	 568.1818 	 2.484887 	 0.002663845 
97	1	94361477	5000	1109	0.0000001	1000	0.358648	1362.991 	 1171 	 309 	 865.6563 	 2.381374 	 0.001747232 
98	1	95218634	5000	1109	0.0000001	1000	0.358648	442.6228 	 382 	 264 	 280.7751 	 2.458589 	 0.005555239 
99	1	95924528	5000	1109	0.0000001	1000	0.358648	591.689 	 518 	 583 	 367.2392 	 2.585805 	 0.00437051 
101	1	783952687	5000	1804	0.0000001	1000	0.013182	1676.446 	 1206 	 95 	 1508.049 	 1.34399 	 0.0008016556 
102	1	784103950	5000	1804	0.0000001	1000	0.013182	1343.812 	 1249 	 849 	 758.8603 	 2.834714 	 0.002109663 
103	1	784255213	5000	1804	0.0000001	1000	0.013182	2818.242 	 2032 	 1208 	 2111.271 	 2.10922 	 0.0007483247 
104	1	784406476	5000	1804	0.0000001	1000	0.013182	979.3424 	 843 	 604 	 637.9405 	 2.377283 	 0.002427734 
105	1	784540932	5000	1804	0.0000001	1000	0.013182	2004.398 	 1651 	 1361 	 1278.452 	 2.694977 	 0.001344402 
106	1	784692195	5000	1804	0.0000001	1000	0.013182	2350.371 	 2008 	 156 	 1751.589 	 1.544866 	 0.0006572801 
